Orthogroup	AT	AagrBONN	AmTr	Azfi	Cericv	EFJ	GBG	Klenit	ME	Os	PILA	PTQ	Potri	Pp	SEGI	SM	Sacu	TnS	VIT	Vocar	Zm
OG0000319	9.0	1.0	7.0	9.0	11.0	9.0	1.0	1.0	2.0	12.0	4.0	1.0	13.0	6.0	3.0	2.0	8.0	4.0	6.0	1.0	29.0
OG0000512	14.0	1.0	9.0	3.0	8.0	3.0	0.0	1.0	0.0	13.0	7.0	0.0	12.0	0.0	5.0	0.0	5.0	4.0	7.0	0.0	14.0
OG0000654	9.0	0.0	5.0	6.0	7.0	2.0	0.0	0.0	0.0	6.0	8.0	1.0	12.0	0.0	7.0	0.0	5.0	7.0	7.0	0.0	10.0
OG0000800	3.0	2.0	3.0	5.0	6.0	3.0	6.0	3.0	1.0	3.0	5.0	2.0	4.0	15.0	2.0	0.0	6.0	3.0	3.0	2.0	4.0
OG0001286	6.0	0.0	3.0	1.0	2.0	1.0	1.0	2.0	1.0	4.0	0.0	1.0	6.0	8.0	5.0	0.0	1.0	3.0	6.0	4.0	6.0
OG0001499	4.0	2.0	1.0	5.0	3.0	3.0	2.0	1.0	1.0	2.0	7.0	1.0	4.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0
OG0001836	3.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	3.0	2.0	4.0	4.0	2.0	6.0	2.0	3.0	3.0
OG0001922	3.0	3.0	1.0	2.0	1.0	2.0	0.0	1.0	1.0	2.0	3.0	1.0	3.0	2.0	9.0	0.0	2.0	1.0	5.0	1.0	5.0
OG0002097	2.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	4.0	3.0	4.0	3.0	2.0	2.0	3.0	1.0	2.0
OG0002218	4.0	1.0	2.0	2.0	1.0	1.0	3.0	1.0	2.0	1.0	4.0	1.0	1.0	1.0	8.0	3.0	1.0	1.0	4.0	1.0	1.0
OG0002400	3.0	2.0	2.0	2.0	4.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	4.0	3.0	5.0	0.0	1.0	5.0	4.0	0.0	1.0
OG0002655	3.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	1.0	4.0	4.0	3.0	0.0	1.0	3.0	2.0	1.0	2.0
OG0002735	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	3.0	2.0	2.0	1.0	1.0	1.0	8.0	3.0	2.0	1.0	1.0	3.0	1.0
OG0002834	2.0		1.0	4.0	3.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	4.0	1.0	3.0	2.0	1.0	1.0	1.0	2.0
OG0003396	2.0	0.0	1.0	1.0	1.0	0.0	2.0	1.0	4.0	2.0	2.0	1.0	3.0	3.0	4.0	3.0	1.0	1.0	1.0	0.0	2.0
OG0003844	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	5.0	3.0	1.0	1.0	1.0	1.0	1.0
OG0004420	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	4.0	2.0	3.0	2.0	2.0	1.0	1.0	1.0
OG0004635	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	2.0	3.0	1.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0
OG0004716	2.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	3.0	0.0	1.0	2.0	2.0	0.0	0.0	1.0	10.0	2.0	0.0	1.0
OG0004763	2.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	3.0	0.0	3.0	1.0	1.0	1.0	1.0	1.0
OG0005268	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0
OG0005485	2.0	1.0	1.0	2.0	2.0	3.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	4.0	3.0	0.0	2.0	1.0	1.0	0.0	1.0
OG0005781	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	2.0
OG0006116	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	5.0	1.0	1.0	1.0	1.0	1.0
OG0006162	1.0	2.0	1.0	1.0	1.0	3.0	1.0	0.0	0.0	2.0	1.0	0.0	2.0	1.0	3.0	0.0	1.0	1.0	1.0	1.0	2.0
OG0007948	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	3.0	0.0	1.0	1.0	0.0	1.0
OG0008166	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	3.0	1.0	1.0	1.0	0.0	1.0
OG0008371	2.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	2.0	2.0	0.0	1.0
OG0008632	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	3.0	0.0	1.0	1.0	1.0	1.0
OG0009152	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	2.0
OG0009707	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0
OG0011991	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
OG0019547	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
